Sample_ID,Label,Cooks_distance_like
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_1,1_1,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_2,1_2,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_3,1_3,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_4,1_4,0.0
File-loaded-ROI_group_1_demo-tiff_demo_1-xml_1_5,1_5,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_1,2_1,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_2,2_2,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_3,2_3,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_4,2_4,0.0
File-loaded-ROI_group_1_demo-tiff_demo_2-xml_2_5,2_5,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_1,3_1,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_2,3_2,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_3,3_3,0.0
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_4,3_4,0.0012422360248447214
File-loaded-ROI_group_2_demo-tiff_demo_3-xml_3_5,3_5,0.0012422360248447214
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_1,4_1,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_2,4_2,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_3,4_3,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_4,4_4,0.0
File-loaded-ROI_group_2_demo-tiff_demo_4-xml_4_5,4_5,0.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_1,5_1,0.0
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_2,5_2,0.0012422360248447203
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_3,5_3,0.0012422360248447203
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_4,5_4,0.004968944099378881
File-loaded-ROI_group_2_demo-tiff_demo_5-xml_5_5,5_5,0.004968944099378881
